"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"auttbp23_cnalencdo",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp20_logatnco",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb070_mgrcosrvco",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb031_contatev",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb029_agndocnco",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb020_srvcocnl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"cettb052_mdlde_cesta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"tagtbi13_acmdoetco",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb02txtdocto",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbh01_historico_lancamento",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb042_prosvocnl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb038_locifauto",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb033_cntapgmno",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb022_teddoc",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb019_exttocnl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb017_extocnsla",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb006_trnsoauto",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt69_trilha_campanha_fncne_",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt68_trilha_campanha_propri",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt58_contagem_evnto_crdto",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt41_pacote_tarifa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt32_conjunto_tarifa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt30_tarifacanal",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt02_trfadtlhe",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_perfil_usuario",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_mov_djcm",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_mensagem_unidade",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_historico_adep_excesso",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_data_consolidada",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_cobranca_adep_excesso",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
